ORG,COMPSS,PITCH,ROLL,CLIFF,LFT,CTR,RHT,LASTLFT,LASTRHT,LFTAVG,RHTAVG,DTURN,DDIR
100,83,656,-256,83,14,25,40,16911,5708,4019,3556,370,1RT
000,66,-3072,-352,91,40,17,40,481,6189,4019,3580,0,FWD
001,55,-2544,-3120,87,40,49,13,845,6553,4037,3599,370,0RT
000,61,-1920,256,81,40,40,40,881,7434,3987,3643,0,FWD
CTG,342,-4208,-2832,82,40,0,40,5802,12355,4233,3771,370,CRT
000,322,-3504,-1248,79,40,66,40,6256,12809,4256,3771,0,FWD
001,300,480,2608,87,40,35,17,7621,14174,4324,3771,370,0LF
000,330,-1488,544,87,27,100,27,8101,480,4348,3737,0,FWD
100,333,-2912,2144,89,16,19,23,8192,571,4352,3742,370,1LF
000,53,-2400,640,84,23,39,40,9072,880,4396,3727,0,FWD
100,37,1712,-320,80,16,60,40,10164,1972,4443,3781,479,1LF
000,152,-352,-4592,79,40,97,40,11153,989,4443,3331,0,FWD
CTG,114,-5024,-480,82,40,0,40,16068,5904,4443,3576,0,CCT
010,108,-2240,-2416,83,40,0,40,20984,10820,4443,3781,370,ALF
101,105,-2624,2384,70,15,26,8,21544,560,4443,3767,370,1LF
000,126,-2768,-1808,83,31,36,40,22505,961,4443,3694,0,FWD
100,141,-1968,-3440,82,17,27,40,22687,1143,4443,3703,678,1LF
000,203,-1664,-3008,84,28,41,40,23876,1189,4443,3262,0,FWD
100,188,592,-3168,86,16,23,19,27062,4375,4443,3422,370,1RT
100,175,976,3952,83,8,17,40,481,4856,3967,3446,391,1RT
001,139,144,-2944,82,40,23,17,901,5757,3988,3491,371,0RT
000,99,3472,2976,83,40,29,25,881,6638,3988,3535,0,FWD
001,164,1392,-2592,80,36,33,17,2429,8186,4065,3612,686,0RT
000,18,-10464,-432,85,40,40,40,1196,9382,3625,3672,0,FWD
001,40,-1072,-16,86,40,26,17,3926,12112,3762,3703,370,0LF
001,72,-384,-1360,84,40,18,6,4406,480,3786,3703,501,0LF
100,145,-5296,2912,94,11,18,21,5417,1011,3836,3690,651,1LF
000,153,-2240,1888,84,22,36,40,6578,1161,3894,3277,0,FWD
TOF,149,-1568,-2208,136,40,34,38,8125,2708,3972,3354,1388,1LF
000,247,880,-3648,83,40,48,40,10450,2325,4065,3442,0,FWD
010,278,-704,-2384,81,40,0,40,11816,3691,4065,3511,370,ALF
000,303,-1104,-128,84,22,32,40,12376,560,4065,3454,0,FWD
100,310,-6192,-1920,82,17,29,40,12467,651,4065,3459,370,1LF
000,10,-1936,-640,83,40,48,40,13347,880,4065,3135,0,FWD
CTG,156,-2624,1744,81,40,0,40,18262,5795,4065,3381,370,CLF
000,124,-1088,4544,95,40,88,40,18721,6254,4065,3404,0,FWD
CTG,74,-1472,1536,78,40,0,40,23273,10806,4065,3591,370,CRT
000,47,-832,432,82,40,56,40,23723,11256,4065,3591,0,FWD
CTG,32,368,-4832,86,40,0,40,28274,15807,4065,3591,370,CRT
000,8,-1600,240,80,19,34,30,28723,16256,4065,3591,0,FWD
110,342,-1664,4736,80,16,15,29,28905,16438,4065,3591,370,1RT
000,322,-1328,-3824,93,21,17,20,480,16918,4056,3591,0,FWD
001,289,-752,176,86,30,20,16,572,17010,4061,3591,370,0RT
000,277,-1392,-448,86,33,31,30,880,17890,3992,3591,0,FWD
001,255,-768,-2384,84,40,55,16,2063,19073,4052,3591,471,0RT
000,245,-3072,2624,84,35,25,40,981,20054,3836,3591,0,FWD
010,246,-528,-2528,81,40,15,24,1527,20600,3864,3591,465,0RT
000,203,-4112,-960,86,40,27,40,1055,21655,3888,3591,0,FWD
CTG,181,-1664,3264,81,40,0,40,5970,26570,4134,3591,370,CLF
000,121,2016,112,92,40,40,40,6429,27029,4157,3591,0,FWD
CTG,217,-1232,6192,80,40,0,40,10979,31579,4335,3591,370,CLF
000,242,-4416,4240,82,35,50,40,11431,32031,4335,3591,0,FWD
100,261,96,3296,80,17,28,40,11977,32577,4335,3591,370,1RT
000,234,-3760,-4320,80,40,27,40,481,33058,3859,3591,0,FWD
001,224,-880,512,86,40,18,9,1118,33695,3891,3591,370,0RT
000,182,-5888,1088,82,40,40,33,880,34575,3902,3591,0,FWD
CTG,210,-1744,-2448,83,40,0,40,5795,39490,4148,3591,370,CLF
000,199,-5088,-4048,86,40,92,40,6255,39950,4171,3591,0,FWD
CTG,205,-3264,832,84,40,0,40,10807,44502,4358,3591,370,CLF
000,255,-208,3056,82,40,40,40,11255,44950,4358,3591,0,FWD
CTG,247,2144,-2912,83,40,0,40,15810,49505,4358,3591,370,CLF
000,292,1648,-336,80,40,36,40,16256,49951,4358,3591,0,FWD
001,308,-4288,2192,85,35,20,16,17804,51499,4358,3591,370,0LF
100,295,-304,-3216,90,14,24,31,18284,480,4358,3591,370,1LF
000,6,-800,3488,84,40,63,40,19165,881,4358,3523,0,FWD
100,22,2608,-2432,92,16,27,40,21168,2884,4358,3623,710,1LF
000,72,-800,-672,85,40,40,40,22387,1219,4358,3184,0,FWD
CTG,86,-736,-1232,82,40,0,40,27302,6134,4358,3430,370,CRT
000,51,-2496,-2352,83,40,62,31,27761,6593,4358,3453,0,FWD
010,102,704,848,82,40,0,40,30764,9596,4358,3603,370,ALF
000,78,-2368,3936,84,40,81,40,31324,560,4358,3593,0,FWD
CTG,106,512,1184,82,40,0,40,32325,1561,4358,3643,0,CCT
001,84,-3072,1632,86,40,32,17,34965,4201,4358,3775,370,0LF
000,126,2112,-2512,91,30,32,40,35445,480,4358,3633,0,FWD
100,122,-7024,2640,85,16,29,38,35718,753,4358,3647,370,1LF
000,141,-880,-1520,84,23,31,40,36597,879,4358,3637,0,FWD
100,135,-3088,2736,87,15,35,40,37781,2063,4358,3696,690,1LF
000,175,6992,5184,84,40,46,40,38982,1201,4358,3698,0,FWD
100,205,-4416,-2832,85,17,31,26,41807,4026,4358,3839,370,1RT
000,157,-1968,-288,87,26,16,26,481,4507,4306,3863,0,FWD
001,198,-112,-1328,88,40,20,17,663,4689,4315,3872,370,0RT
000,133,-7920,-4720,87,20,27,18,480,5169,4217,3896,0,FWD
001,140,656,416,91,25,20,17,935,5624,4240,3919,558,0RT
000,103,-3008,-4048,91,32,27,29,1068,6692,4178,3972,0,FWD
001,139,-3520,1984,67,40,27,17,1341,6965,4191,3986,533,0RT
000,6,-3504,5888,83,40,48,40,1044,8009,3744,4038,0,FWD
001,23,-480,5520,83,40,24,17,4321,11286,3907,4138,370,0LF
001,41,-3312,-1952,83,40,20,6,4801,480,3931,3662,437,0LF
100,99,-1520,-2160,95,12,18,30,5748,947,3979,3681,370,1LF
000,235,-128,64,81,30,31,40,6629,881,4023,3626,0,FWD
100,146,1344,1936,83,14,24,37,7266,1518,4055,3658,381,1LF
000,136,-1632,-320,82,40,34,40,8156,890,4099,3202,0,FWD
CTG,148,3904,-976,26,40,0,40,13071,5805,4191,3448,370,CLF
TOF,178,-4128,-7792,134,40,0,40,13530,6264,4191,3471,1173,ALF
000,262,-2544,3680,80,40,88,40,15239,1709,4191,3528,0,FWD
CTG,313,-48,-4400,79,40,0,40,18151,4621,4191,3674,370,CRT
000,257,1360,-3360,83,40,90,40,18552,5022,4191,3694,0,FWD
CTG,255,1088,176,83,40,0,40,23104,9574,4191,3922,370,CLF
100,275,-6448,2240,82,10,31,27,23552,10022,4191,3943,370,1RT
100,292,-6816,2080,89,16,30,22,481,10503,4191,3943,684,1RT
000,225,-2384,-3408,84,40,40,40,1195,11698,3751,3943,0,FWD
CTG,211,2096,4208,86,40,0,40,6113,16616,3997,3943,370,CLF
000,224,-2112,1248,90,40,71,40,6570,17073,4020,3943,0,FWD
100,228,416,304,84,16,20,40,10031,20534,4191,3943,370,1RT
111,200,-2320,1648,85,17,15,12,481,21015,4191,3943,403,0RT
000,180,1840,-1536,84,40,40,18,1233,22248,3753,3943,0,FWD
CTG,164,-2800,-464,83,40,0,40,6149,27164,3999,3943,370,CLF
001,150,-2800,2096,89,40,35,15,6608,27623,4022,3943,370,0LF
011,213,1552,208,85,20,15,8,7088,480,4046,3910,677,0LF
000,244,-5088,2592,83,40,40,40,8275,1187,4105,3469,0,FWD
001,274,-4560,2416,83,40,28,16,9459,2371,4164,3528,657,0LF
000,182,-2976,-1936,82,26,40,40,10626,1167,4191,3563,0,FWD
CTG,43,-4240,-1728,81,40,0,40,15542,6083,4191,3809,370,CRT
000,286,-1440,2784,82,40,75,40,16001,6542,4191,3832,0,FWD
100,343,-80,1184,80,17,20,40,17735,8276,4191,3918,370,1RT
000,309,-880,-1728,88,34,20,40,480,8756,4173,3942,0,FWD
001,299,-5808,-4352,85,26,23,16,571,8847,4178,3947,370,0RT
000,245,-1184,-7040,83,35,33,40,880,9727,3722,3991,0,FWD
001,232,96,-2656,84,40,25,16,1972,10819,3776,4004,735,0RT
000,211,2496,608,85,40,52,40,1245,12064,3814,4004,0,FWD
001,207,-736,3536,84,40,21,17,3247,14066,3915,4004,381,0RT
000,157,-3440,-848,86,40,32,35,891,14957,3914,4004,0,FWD
001,171,-3536,-496,80,40,40,17,1528,15594,3946,4004,542,0RT
000,159,-576,-2208,86,40,69,40,1053,16647,3877,4004,0,FWD
100,103,-4032,-9072,82,14,19,25,4241,19835,4037,4004,370,1RT
011,47,-2896,-6096,89,40,15,16,480,20315,3561,4004,370,0RT
000,70,96,-8160,82,40,48,40,880,21195,3576,4004,0,FWD
CTG,40,-160,-3152,85,40,0,40,5797,26112,3822,4004,370,CRT
000,6,-336,-3568,82,40,74,40,6253,26568,3845,4004,0,FWD
010,18,-3536,-1344,81,40,0,40,10530,30845,4032,4004,370,ALF
CTG,86,-5712,-1168,83,40,27,40,11090,560,4032,3982,370,CRT
100,59,4112,1792,82,6,18,39,11490,960,4032,4002,370,1LF
000,27,-512,1728,82,40,20,40,12370,880,4032,3910,0,FWD
001,89,-1936,-5824,80,39,20,13,13555,2065,4032,3970,526,0LF
100,91,3472,-192,82,11,82,40,14592,1037,4032,3837,546,1LF
000,131,-2368,-2992,83,40,83,40,15649,1057,4032,3857,0,FWD
100,159,-3744,816,88,17,33,40,19746,5154,4032,4062,370,1RT
000,146,-432,-1392,81,23,26,33,480,5634,3953,4086,0,FWD
010,130,-1392,-4864,85,27,15,28,662,5816,3962,4095,370,0RT
000,97,3392,-704,84,40,40,26,961,6777,3934,4143,0,FWD
010,89,1248,-5056,98,40,15,20,2872,8688,4029,4239,575,0RT
000,28,-2128,-3488,84,40,40,40,1167,9855,3587,4297,0,FWD
001,19,-2272,848,84,40,28,16,4261,12949,3742,4304,370,0LF
000,61,-3504,-1840,84,40,25,18,4742,481,3766,3829,0,FWD
001,115,-3568,1280,91,40,19,17,4833,572,3771,3833,544,0LF
000,109,-1568,752,76,26,27,40,5887,1054,3823,3862,0,FWD
101,152,-608,-448,78,17,23,17,6069,1236,3833,3871,691,1LF
000,166,-5568,5264,84,40,32,40,7351,1282,3897,3791,0,FWD
TOF,157,-624,3488,140,18,23,40,9628,3559,4011,3905,1237,1LF
000,242,-3200,-480,86,40,40,40,11801,2173,4029,3533,0,FWD
CTG,250,-6560,1488,80,40,0,40,16719,7091,4029,3779,370,CLF
000,275,48,576,84,40,53,40,17176,7548,4029,3802,0,FWD
100,266,2240,1664,82,15,40,34,18998,9370,4029,3893,370,1RT
000,289,-880,1632,86,40,16,31,480,9850,3997,3917,0,FWD
001,256,-2496,-2816,80,40,72,12,844,10214,4015,3925,370,0RT
000,239,-2688,-1136,85,40,86,26,880,11094,3559,3925,0,FWD
001,234,-1536,-176,84,40,27,15,5797,16011,3805,3925,370,0LF
001,249,-3824,608,85,40,18,10,6278,481,3829,3739,733,0LF
000,325,-9184,2848,82,40,33,40,7521,1243,3891,3763,0,FWD
010,300,-1168,2032,84,40,11,40,9250,2972,3978,3850,504,1LF
001,359,-4256,2464,86,40,29,12,10345,1095,4015,3801,518,0LF
000,37,-6576,-1984,82,20,53,40,11373,1028,4015,3353,0,FWD
100,151,-4464,-3296,84,15,40,40,11464,1119,4015,3357,556,1LF
000,107,-7488,5008,83,40,90,40,12531,1067,4015,3387,0,FWD
100,133,-640,656,76,16,30,40,16906,5442,4015,3605,370,1RT
000,106,128,-1280,82,40,26,40,480,5922,4006,3629,0,FWD
001,108,-1728,-2400,79,40,78,14,844,6286,4024,3648,370,0RT
000,93,-2160,-704,84,40,80,40,881,7167,4022,3692,0,FWD
CTG,82,2064,1568,85,40,0,40,5799,12085,4268,3833,370,CRT
000,35,-4576,32,87,40,62,40,6256,12542,4291,3833,0,FWD
CTG,51,-2480,-2144,82,40,0,40,10810,17096,4478,3833,370,CRT
000,17,-1152,64,81,40,91,40,11255,17541,4478,3833,0,FWD
100,134,-5120,3920,86,16,24,40,15807,22093,4478,3833,370,1RT
001,351,-1120,3040,68,26,20,17,480,22573,4435,3833,370,0RT
001,264,-1696,144,44,32,23,16,480,23053,3959,3833,431,0RT
000,263,-4224,1984,82,40,73,40,943,23996,3982,3833,0,FWD
100,203,-3520,3008,82,17,96,40,3127,26180,4091,3833,635,1RT
000,181,1840,2176,89,26,24,40,1146,27326,3648,3833,0,FWD
100,213,-1664,-672,88,17,24,36,1510,27690,3666,3833,460,1RT
000,178,-4656,-272,90,40,26,33,971,28661,3691,3833,0,FWD
CTG,175,432,2000,82,40,0,40,5888,33578,3937,3833,370,CLF
000,185,-5184,1344,85,27,62,40,6345,34035,3960,3833,0,FWD
TOF,158,-4352,944,196,40,0,40,9899,37589,4137,3833,1296,ALF
CTG,247,-3200,5888,79,40,40,40,11731,1832,4142,3878,370,CLF
000,288,-1440,-96,81,40,83,40,12131,2232,4142,3898,0,FWD
010,279,2400,-4384,82,40,0,40,16503,6604,4142,4116,370,ALF
CTG,318,-1264,1296,80,32,23,40,17064,561,4142,4068,370,CRT
110,301,-3008,1040,85,7,14,23,17464,961,4142,4088,370,1LF
100,333,-4368,1504,83,16,22,40,18344,880,4142,3819,375,1LF
001,333,160,512,84,40,18,6,19230,886,4142,3363,463,0LF
100,74,-5520,384,84,13,76,40,20204,974,4142,3388,661,1LF
000,160,-1936,544,85,40,71,40,21375,1171,4142,3328,0,FWD
100,123,96,944,96,16,27,22,24926,4722,4142,3506,370,1RT
000,93,2896,1008,48,31,31,27,481,5203,3666,3530,0,FWD
001,76,4480,-1648,88,26,27,16,572,5294,3671,3534,370,0RT
000,83,-2496,-3232,82,40,34,28,880,6174,3686,3578,0,FWD
001,73,-2784,-1536,86,40,28,16,2429,7723,3764,3656,680,0RT
000,11,1520,-96,85,40,40,40,1191,8914,3725,3715,0,FWD
CTG,326,1152,1952,82,40,0,40,6107,13830,3971,3770,370,CRT
000,300,-1040,1552,83,40,34,40,6565,14288,3994,3770,0,FWD
101,344,-2784,2720,85,40,0,40,9568,17291,4144,3770,370,ALF
000,348,608,-4384,82,21,17,19,10128,560,4165,3298,0,FWD
110,21,-3856,608,65,17,15,20,10311,743,4165,3307,370,1LF
000,105,624,-3952,90,24,22,40,11191,880,4165,3303,0,FWD
100,182,-6000,96,81,17,24,39,11373,1062,4165,3312,611,1LF
000,133,-5152,5152,83,40,68,40,12495,1122,4165,3265,0,FWD
001,120,592,3232,83,40,40,6,12860,1487,4165,3283,479,0LF
000,107,-1232,928,94,40,93,40,13849,989,4165,3281,0,FWD
001,129,-2112,-768,87,18,23,17,18673,5813,4165,3522,370,0LF
000,126,-2432,-2640,83,20,20,39,19154,481,4165,3046,0,FWD
100,154,-64,448,82,17,23,40,19336,663,4165,3055,370,1LF
000,196,2256,3344,83,38,41,40,20215,879,4165,3070,0,FWD
100,187,-3296,1232,84,15,24,40,25130,5794,4165,3316,370,1RT
011,171,1424,-3504,90,40,15,8,480,6274,4027,3340,370,0RT
000,175,1248,1696,102,19,29,40,881,7155,3995,3384,0,FWD
100,92,-5616,-832,44,17,25,20,1337,7611,4017,3407,555,1RT
000,98,-1936,-5232,83,40,22,27,1066,8677,3859,3460,0,FWD
001,102,-5984,1216,78,35,24,17,2251,9862,3918,3519,727,0RT
000,52,-4288,4304,96,40,36,29,1237,11099,3956,3526,0,FWD
CTG,187,-5536,-848,84,40,0,40,6155,16017,4202,3526,370,CLF
000,99,-3488,6848,85,40,87,40,6612,16474,4225,3526,0,FWD
CTG,66,-208,-432,86,40,0,40,11166,21028,4394,3526,370,CRT
000,38,464,-48,84,40,66,40,11613,21475,4394,3526,0,FWD
001,56,-2400,32,93,40,39,17,15710,25572,4394,3526,370,0LF
011,70,4240,-2224,91,23,15,15,16190,480,4394,3488,436,0LF
000,91,3872,-1248,85,22,20,39,17137,947,4394,3358,0,FWD
100,113,592,2432,86,15,31,31,17683,1493,4394,3385,658,1LF
000,114,1488,1344,84,37,36,40,18852,1169,4394,2944,0,FWD
001,151,1120,-1296,81,40,23,14,19945,2262,4394,2998,615,0LF
000,195,-240,4752,85,40,49,40,21071,1126,4394,3031,0,FWD
TOF,198,-4672,-528,121,40,94,40,22710,2765,4394,3112,1444,1LF
000,79,-3200,-4656,80,40,86,40,25091,2381,4394,3083,0,FWD
CTG,302,-3296,-2016,85,40,0,40,30006,7296,4394,3329,370,CRT
000,282,-1504,3056,85,40,30,35,30466,7756,4394,3352,0,FWD
001,338,-3072,-2272,84,40,17,17,31650,8940,4394,3411,370,0LF
000,36,992,-832,88,21,19,18,32130,480,4394,3380,0,FWD
001,5,5552,-704,92,20,28,16,32221,571,4394,3385,539,0LF
000,157,-3104,-4048,87,22,31,40,33271,1050,4394,3381,0,FWD
100,10,-5888,-4160,83,16,24,32,33635,1414,4394,3399,516,1LF
000,149,-1792,-3824,86,40,39,40,34661,1026,4394,2951,0,FWD
100,97,-3408,4352,85,15,19,32,36757,3122,4394,3056,546,1LF
000,147,112,2736,85,35,34,39,37814,1057,4394,2778,0,FWD
001,157,1216,-1376,89,33,23,14,37996,1239,4394,2787,436,0LF
000,138,-4176,3504,89,34,27,40,38942,946,4394,2787,0,FWD
100,153,-2960,2096,82,16,53,40,39762,1766,4394,2828,716,1LF
000,218,1680,1808,87,40,40,40,40988,1226,4394,2845,0,FWD
CTG,242,944,352,87,40,0,40,45903,6141,4394,3091,370,CLF
000,303,-2960,2720,91,40,48,40,46362,6600,4394,3114,0,FWD
100,326,-1264,-544,91,15,31,25,48182,8420,4394,3205,370,1RT
001,283,2752,1744,67,40,19,9,481,8901,3918,3229,370,0RT
000,178,-4288,-928,85,40,90,40,880,9781,3929,3273,0,FWD
CTG,177,-7664,-1584,83,40,0,40,5794,14695,4175,3284,370,CLF
000,225,208,2288,83,40,40,30,6254,15155,4198,3284,0,FWD
001,227,-1344,-6064,83,40,24,17,7347,16248,4252,3284,370,0LF
001,258,-1760,-1904,84,20,22,8,7827,480,4276,3263,537,0LF
000,276,272,-3696,85,22,24,40,8875,1048,4329,3267,0,FWD
100,278,-10656,8032,83,17,24,40,9057,1230,4338,3276,610,1LF
000,26,-960,64,85,40,68,40,10178,1121,4385,2832,0,FWD
CTG,92,-3472,-464,81,40,0,40,15093,6036,4385,3078,0,CCT
100,71,-2208,624,82,16,21,37,15912,6855,4385,3119,370,1RT
101,137,-464,-2400,88,14,18,17,481,7336,4265,3143,370,0RT
001,4,-5664,1888,85,32,22,13,560,7896,3793,3171,504,0RT
000,327,-6512,-4432,84,40,23,23,1015,8911,3802,3222,0,FWD
001,284,-2944,2976,83,40,30,17,1288,9184,3816,3235,701,0RT
000,276,-4096,-2032,83,40,82,40,1211,10395,3376,3276,0,FWD
CTG,185,-2384,-3312,84,40,0,40,6128,15312,3622,3276,370,CLF
000,192,-2048,2784,81,40,100,40,6584,15768,3645,3276,0,FWD
CTG,230,-3424,-848,81,40,0,40,11139,20323,3816,3276,370,CLF
000,229,-1616,-4208,84,40,40,40,11587,20771,3816,3276,0,FWD
CTG,253,-3264,-5616,85,40,0,40,16137,25321,3816,3276,370,CLF
000,248,-3776,352,81,40,42,40,16588,25772,3816,3276,0,FWD
001,279,-256,4160,82,27,50,15,17499,26683,3816,3276,370,0LF
001,306,-1424,1232,82,28,24,9,17979,480,3816,3263,480,0LF
000,33,-6352,-2624,80,29,50,40,18971,992,3816,3259,0,FWD
CTG,60,-1024,-4048,85,40,0,40,23885,5906,3816,3505,370,CRT
000,15,1168,-576,84,27,32,40,24346,6367,3816,3528,0,FWD
100,336,-976,-3248,83,17,26,33,25529,7550,3816,3587,370,1RT
000,45,-3360,1248,79,27,23,23,481,8031,3797,3611,0,FWD
001,313,-2608,1776,84,18,20,16,936,8486,3820,3634,370,0RT
000,269,-2288,-1824,84,40,31,23,880,9366,3364,3678,0,FWD
001,283,-2768,-5344,83,40,24,11,1062,9548,3373,3687,608,0RT
000,239,-2816,-3696,83,40,42,40,1118,10666,3405,3710,0,FWD
001,241,992,-864,83,40,23,17,2210,11758,3460,3710,691,0RT
000,192,-4544,-2720,84,40,40,40,1201,12959,3496,3710,0,FWD
CTG,148,-1040,496,81,40,0,40,6117,17875,3742,3710,370,CLF
000,215,2240,-3088,86,40,79,40,6576,18334,3765,3710,0,FWD
001,199,3168,-2192,82,40,30,16,10399,22157,3936,3710,370,0LF
000,242,-3152,2656,81,30,17,40,10879,480,3936,3659,0,FWD
100,235,-1296,-2256,80,11,99,40,11425,1026,3936,3687,370,1LF
000,236,-3040,-688,85,40,40,40,12305,880,3936,3440,0,FWD
CTG,211,-624,5024,84,40,0,40,17223,5798,3936,3686,370,CLF
000,289,2096,7488,84,40,27,40,17679,6254,3936,3709,0,FWD
001,284,-1680,-4320,86,40,23,17,18408,6983,3936,3745,370,0LF
000,313,-2352,656,85,35,22,40,18889,481,3936,3736,0,FWD
110,301,-2528,1792,87,10,15,40,19526,1118,3936,3768,370,1LF
100,348,-2416,2912,84,15,24,40,20406,880,3936,3312,524,1LF
000,92,-4640,-3808,84,33,44,40,21441,1035,3936,3340,0,FWD
CTG,87,-1888,-32,84,40,0,40,26356,5950,3936,3585,370,CRT
000,127,560,-816,84,40,76,40,26816,6410,3936,3608,0,FWD
100,109,992,-2352,81,16,17,40,30642,10236,3936,3788,370,1RT
001,66,400,7280,85,40,19,7,480,10716,3803,3788,370,0RT
000,289,7616,-144,87,40,36,40,881,11597,3772,3788,0,FWD
001,306,-896,-2080,82,20,25,16,5255,15971,3991,3788,370,0LF
111,358,-4928,-4016,30,11,15,14,5735,480,4015,3737,1088,1LF
000,98,304,-4768,82,40,49,40,7653,1918,4111,3720,0,FWD
001,134,-768,-464,83,40,26,16,9837,4102,4220,3829,498,0LF
100,154,-1792,3248,87,16,25,35,10445,608,4228,3721,370,1LF
000,228,-7168,1872,86,30,34,40,11326,881,4228,3319,0,FWD
CTG,194,-1344,432,84,40,0,40,16242,5797,4228,3564,370,CLF
000,120,-3760,192,83,40,76,40,16701,6256,4228,3587,0,FWD
100,196,816,672,81,16,27,40,20527,10082,4228,3774,370,1RT
000,179,288,4048,83,40,33,40,480,10562,3752,3774,0,FWD
001,181,-32,2368,81,40,28,9,571,10653,3756,3774,370,0RT
000,133,-400,-1136,81,40,31,40,880,11533,3772,3774,0,FWD
001,140,-1344,320,75,40,77,11,2518,13171,3854,3774,424,0RT
000,90,864,688,81,40,47,40,935,14106,3779,3774,0,FWD
001,96,-3936,-5152,83,29,31,16,2758,15929,3870,3774,625,0RT
000,4,-3616,-1728,83,40,36,40,1135,17064,3427,3774,0,FWD
CTG,63,-4064,608,80,40,0,40,6053,21982,3673,3774,370,CRT
000,354,1680,1872,82,40,43,40,6510,22439,3696,3774,0,FWD
100,336,-560,128,85,17,38,40,7875,23804,3764,3774,370,1RT
100,331,-3344,-80,81,10,20,27,480,24284,3764,3774,707,1RT
000,254,-2912,-6336,88,40,40,40,1218,25502,3758,3774,0,FWD
CTG,230,-4112,3360,85,40,0,40,6135,30419,4004,3774,370,CLF
000,280,-608,1312,85,40,40,26,6593,30877,4027,3774,0,FWD
001,356,720,-1808,85,40,36,17,7686,31970,4081,3774,370,0LF
000,302,3728,-1728,84,34,24,40,8166,480,4105,3770,0,FWD
100,270,-368,336,83,16,40,40,8530,844,4124,3788,370,1LF
000,19,-2704,3696,87,40,52,40,9410,880,4168,3761,0,FWD
100,8,-1104,-4528,80,17,29,40,11321,2791,4197,3857,389,1LF
000,2,1152,-176,83,40,77,40,12220,899,4197,3746,0,FWD
CTG,122,-4912,2960,86,40,0,40,17134,5813,4197,3992,0,CCT
100,91,912,-2256,82,16,31,40,17863,6542,4197,4028,370,1RT
001,34,1152,2944,81,28,27,16,480,7022,4109,4052,370,0RT
100,350,1728,-784,83,13,17,40,881,7903,3653,4096,458,1RT
001,311,-928,-3056,84,40,22,16,969,8872,3677,4144,394,0RT
000,244,-6144,-5680,89,40,51,40,904,9776,3222,4190,0,FWD
001,264,-3280,-2032,82,40,36,16,2816,11688,3318,4201,455,0RT
000,231,-976,-752,84,40,47,40,965,12653,3342,4201,0,FWD
001,221,-640,6336,82,40,56,17,3058,14746,3447,4201,658,0RT
000,173,-2272,3248,92,40,40,40,1169,15915,3477,4201,0,FWD
000,57,-1072,32,89,40,0,40,10573,10573,0,0,0,FWD
111,138,-1120,32,92,40,0,40,10664,10664,0,0,599,SLF
000,109,-6160,5424,87,40,34,33,11693,1029,0,1029,0,FWD
CTG,132,1344,1536,84,40,0,40,16612,5948,0,5948,370,CLF
000,164,-832,3072,84,40,34,40,17067,6403,0,6403,0,FWD
100,146,-128,-368,85,14,36,40,18887,8223,0,8223,370,1RT
001,175,-1584,-2832,94,18,37,11,479,8702,479,8702,370,0RT
001,111,-6944,3136,81,23,28,12,480,9182,479,9182,643,0RT
000,65,1856,1632,82,40,93,40,1152,10334,703,10000,0,FWD
010,51,2112,2144,82,40,15,40,1789,10971,916,10000,698,0RT
000,350,-2752,1776,89,40,96,40,1288,12259,1009,10000,0,FWD
CTG,329,-480,368,82,40,0,40,6204,17175,2238,10000,370,CRT
000,38,-6608,-1888,85,40,53,40,6663,17634,2352,10000,0,FWD
100,332,-3936,-1168,89,16,37,40,9032,20003,2945,10000,370,1RT
100,295,-2656,-2960,86,16,16,40,480,20483,2452,10000,480,1RT
000,254,-5232,1216,81,39,31,40,589,21072,2141,10000,0,FWD
100,240,-1984,4752,85,15,31,22,1226,21709,2247,10000,472,1RT
000,253,-2656,2080,85,40,28,21,582,22291,2009,10000,0,FWD
001,216,-1680,-2128,83,40,40,14,855,22564,2048,10000,524,0RT
000,194,-1584,-1968,83,40,40,40,1034,23598,1921,10000,0,FWD
CTG,167,496,144,87,40,0,40,5949,28513,2536,10000,370,CLF
000,194,-1472,-2512,84,40,24,40,6407,28971,2593,10000,0,FWD
100,196,624,3216,88,16,43,40,7135,29699,2684,10000,370,1RT
001,225,-1200,-352,85,40,16,16,479,30178,2439,10000,370,0RT
000,154,-4496,-4944,84,40,40,40,479,30657,2243,10000,0,FWD
CTG,149,1824,-2592,84,40,0,40,5397,35575,2735,10000,370,CLF
000,128,1280,-720,81,40,48,40,5854,36032,2780,10000,0,FWD
100,201,-1088,240,102,7,56,40,6309,36487,2826,10000,370,1RT
000,181,-2384,-224,92,40,42,40,479,36966,2613,10000,0,FWD
100,180,-2256,2640,84,6,19,35,1390,37877,2695,10000,558,1RT
000,151,-4320,-2896,91,40,17,29,668,38545,2526,10000,0,FWD
010,140,-1984,2672,87,40,14,30,759,38636,2534,10000,383,0RT
000,114,-2528,64,80,40,48,31,973,39609,2414,10000,0,FWD
001,83,-5872,1280,66,40,22,16,2611,41247,2540,10000,659,0RT
TOF,52,-4096,448,149,40,39,40,1170,42417,2442,10000,1420,0RT
000,268,-528,1488,82,40,62,40,2355,44772,2436,10000,0,FWD
CTG,304,-3200,912,83,40,0,40,7270,49687,2764,10000,370,CRT
000,238,928,-4656,85,40,57,40,7730,50147,2794,10000,0,FWD
001,201,-1328,2816,81,37,18,16,11827,54244,2946,10000,370,0LF
